"{year, month, day, Nxz, Re, r/R, gamma, F(r), Coriolis, shift, mvx, \[Delta]mvx, mvy, \[Delta]mvy, mvz, \[Delta]mvz, Evx, \[Delta]Evx, Evy, \[Delta]Evy, Evz, \[Delta]Evz, m\[Psi], \[Delta]m\[Psi]}, comment"
{2009, 2, 18, 128, 50, 0.1, 0.0001, "dp", 0, 0.13899384829214131, 0.06107577516725475, 4.e-6, 0.9550742849873406, 0.000024, 0.02976923306732241, 2.e-6, 0.0005341925396667311, 7.e-8, 0.24582984662342447, 0.00001, 0.00017868892897297716, 2.e-8, 0.01737012790192501, 0.0021539659374999976, "ErrScale 1e-4"}
{2009, 2, 18, 128, 50, 0.2, 0.0001, "dp", 0, 0.1999916181582848, 0.09872264193921067, 8.e-7, 0.8807100375981497, 1.e-6, 0.04953036734296504, 2.e-6, 0.0014641078644330487, 2.e-8, 0.2212631903045716, 6.e-7, 0.0004932226062398192, 9.e-9, 0.02935132156985, 0.006100826203125, "ErrScale 1e-4"}
{2009, 2, 19, 128, 50, 0.3, 0.0001, "dp", 0, 0.21957845922830305, 0.12183708204929997, 0.00014, 0.8133117823474936, 3.e-8, 0.06551866071475379, 0.00005, 0.002322894614110631, 1.6e-6, 0.20054302837023272, 6.e-7, 0.0007897002577261894, 1.6e-6, 0.037820908193225006, 0.01102349500000004, "ErrScale 1e-4"}
{2009, 2, 19, 128, 50, 0.4, 0.0001, "dp", 0, 0.21969523690123835, 0.13707158402640635, 0.00003, 0.7559474214145954, 1.e-7, 0.07955648929515582, 0.0000545, 0.0030331993113320668, 3.e-8, 0.18360839015019348, 3.e-7, 0.001043818222433958, 3.e-8, 0.04437368259689999, 0.01660288750000002, "ErrScale 1e-4"}
{2009, 2, 19, 128, 60, 0, 0.0001, "dp", 0, 0, 0., 0, 1.000054029183985, 5.e-6, 0, 0, 0., 0, 0.26193577600132995, 3.e-6, 0., 0, 0, 0, "ErrScale 1e-4"}
{2009, 2, 19, 128, 60, 0.1, 0.0001, "dp", 0, 0.19278801173060112, 0.06801260003186312, 2.e-7, 0.9337567617247572, 1.e-6, 0.03420722026500861, 2.e-7, 0.0006752851014738497, 3.e-9, 0.2376743495066412, 6.e-7, 0.0002264463440585814, 2.e-9, 0.019512439690775003, 0.002455911718749988, "ErrScale 1e-4"}
{2009, 2, 19, 128, 60, 0.2, 0.0001, "dp", 0, 0.25827825813976707, 0.10351649464229999, 0.0004, 0.8449907641183405, 8.e-7, 0.05278671266377202, 0.0009, 0.0016709580817449957, 5.e-6, 0.20882223920801166, 2.e-6, 0.0005652829938040696, 7.e-6, 0.0312968913426, 0.006577159999999985, "ErrScale 1e-4"}
{2009, 4, 9, 128, 60, 0.3, 0.0001, "dp", 0, 0.2765918349164986, 0.12380474104160034, 0.0001, 0.7725501770760506, 5.e-7, 0.06762227514668459, 0.00015000000000000001, 0.002517154054373411, 3.e-7, 0.1873331186785878, 4.e-7, 0.0008600608688676656, 3.e-7, 0.039324496852299995, 0.011534860468749998, "ErrScale 1e-4"}
{2009, 2, 20, 128, 70, 0, 0.0001, "dp", 0, 0, 0., 0, 1.0000477227276647, 1.e-6, 0., 0, 0., 0, 0.2619328179843389, 3.e-7, 0., 0, 0, 0, "ErrScale 1e-4"}
{2009, 2, 20, 128, 70, 0.1, 0.0001, "dp", 0, 0.24184260697421373, 0.07277952716095137, 3.e-7, 0.9107190224724775, 2.e-6, 0.037771952921389136, 2.e-7, 0.0007913682701512407, 7.e-9, 0.2288326603261154, 2.e-6, 0.0002662357102741988, 3.e-9, 0.021107774081325005, 0.0026937103125, "ErrScale 1e-4"}
{2009, 2, 20, 128, 70, 0.2, 0.0001, "dp", 0, 0.3058007459139269, 0.10542514599191863, 0.00014, 0.8122248527195747, 1.e-6, 0.05577481659690751, 0.0002, 0.0018037985965181508, 2.e-6, 0.1975408860870862, 3.e-7, 0.0006132477025751134, 1.e-6, 0.032510838414249996, 0.0068903806249999994, "ErrScale 1e-4"}
{2009, 2, 20, 256, 70, 0, 0.0001, "dp", 0, 0, 0., 0, 1.0000112642243253, 4.e-7, 0., 0, 0., 0, 0.261832228165828, 2.e-8, 0., 0, 0, 0, "ErrScale 1e-4"}
{2009, 2, 20, 256, 70, 0.1, 0.0001, "dp", 0, 0.24218755000000003, 0.07277596309381139, 3.e-6, 0.9106730763918569, 1.e-6, 0.03774815798161096, 3.e-6, 0.0007900426025120006, 4.e-9, 0.22876534103306206, 1.e-6, 0.00026584493047426795, 3.e-9, 0.02099094433295573, 0.002165975179110176, "ErrScale 1e-4"}
{2009, 3, 12, 10, 1, 0.25, 0.0001, "dp", 0, -0.09455196380954328, 0.0035088240551494963, 2.e-6, 1.0103331979999983, 3.e-14, 0.0021035525701599994, 2.e-6, 2.091158112273663e-6, 4.e-10, 0.2727923632059195, 5.4999999999999996e-12, 7.024277507068116e-7, 5.e-10, 0.0012047537, 0.002292944, "ErrScale 1e-4"}
{2009, 3, 12, 20, 1, 0.25, 0.0001, "dp", 0, -0.09454323524797192, 0.0035180753786253098, 2.e-7, 1.0044298938995941, 2.e-6, 0.0019573507952266663, 2.e-7, 1.8200978352247786e-6, 4.e-11, 0.2644175552314485, 1.e-8, 6.027018180484143e-7, 1.e-10, 0.0011038579999999984, 0.0012689789999999978, "ErrScale 1e-4"}
{2009, 3, 12, 30, 1, 0.25, 0.0001, "dp", 0, -0.09462759093066726, 0.003514120809557451, 4.e-6, 1.0048372732502633, 5.e-6, 0.0019383457748177442, 1.e-6, 1.7495231112766694e-6, 5.500000000000001e-10, 0.2620427308108618, 2.e-6, 5.873217315484235e-7, 6.e-10, 0.0010801581345030505, 0.0007307257413810027, "ErrScale 1e-4"}
