1 processors ended work (49 iterations,0.00100925 simsec) in 13363.8 seconds, mesh=300x300x300
2 processors ended work (49 iterations,0.00100925 simsec) in 6719.99 seconds, mesh=300x300x300
3 processors ended work (49 iterations,0.00100925 simsec) in 4829.84 seconds, mesh=300x300x300
4 processors ended work (49 iterations,0.00100925 simsec) in 3524.06 seconds, mesh=300x300x300
5 processors ended work (49 iterations,0.00100925 simsec) in 2797.09 seconds, mesh=300x300x300
6 processors ended work (49 iterations,0.00100925 simsec) in 2234.01 seconds, mesh=300x300x300
7 processors ended work (49 iterations,0.00100925 simsec) in 2059.13 seconds, mesh=300x300x300
8 processors ended work (49 iterations,0.00100925 simsec) in 1797.4 seconds, mesh=300x300x300
9 processors ended work (49 iterations,0.00100925 simsec) in 1529.38 seconds, mesh=300x300x300
10 processors ended work (49 iterations,0.00100925 simsec) in 1431.22 seconds, mesh=300x300x300
12 processors ended work (49 iterations,0.00100925 simsec) in 1230.43 seconds, mesh=300x300x300
16 processors ended work (49 iterations,0.00100925 simsec) in 895.967 seconds, mesh=300x300x300
24 processors ended work (49 iterations,0.00100925 simsec) in 635.019 seconds, mesh=300x300x300
25 processors ended work (49 iterations,0.00100925 simsec) in 566.65 seconds, mesh=300x300x300
36 processors ended work (49 iterations,0.00100925 simsec) in 435.626 seconds, mesh=300x300x300
64 processors ended work (49 iterations,0.00100925 simsec) in 240.933 seconds, mesh=300x300x300
128 processors ended work (49 iterations,0.00100925 simsec) in 145.185 seconds, mesh=300x300x300
256 processors ended work (49 iterations,0.00100925 simsec) in 78.4886 seconds, mesh=300x300x300
