"{year, month, day, Nxz, Ny, TDV, Re, ksi, chi, r/R, lfi, wall, Rvac, etawall, Rm, m, n, gamma, \[Delta]gamma, omega, \[Delta]omega, kalibr+BC}"
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 6.613879270715354, 0, 2, 1, 146.00444, 1, 1, 0., 0.0001, 19.7137, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 6.981317007977318, 0, 2, 1, 141.3385, 1, 1, 0., 0.0001, 16.6, 0.2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 7.391982714328925, 0, 2, 1, 137.8176, 1, 1, 0., 0.0001, 13.328, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 7.853981633974483, 0, 2, 1, 136.1998, 1, 1, 0., 0.0001, 10.6448, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 8.377580409572781, 0, 2, 1, 226.6903, 2, 0.5, 0., 0.05, 0, 100, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 8.975979010256552, 0, 2, 1, 211.4, 2, 0.5, 0., 0.02, 50, 30, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 9.66643893412244, 0, 2, 1, 193.3722, 2, 0.5, 0., 0.2, 66, 5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 10.471975511965978, 0, 2, 1, 178.1723, 2, 1, 0., 0.02, 46, 5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 11.423973285781065, 0, 2, 1, 163.9347, 2, 1, 0., 0.0001, 33.907, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 12.566370614359172, 0, 2, 1, 151.4364, 2, 1, 0., 0.0001, 24.1549, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 13.962634015954636, 0, 2, 1, 141.338, 2, 1, 0., 0.0001, 16.465, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 15.707963267948966, 0, 2, 1, 178, 2, 1, 0.34, 0.01, 12.3, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 15.707963267948966, 0, 2, 1, 178, 3, 1, 0., 0.01, 54, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 17.951958020513104, 0, 2, 1, 157.426, 3, 1, 0., 0.0001, 28.6, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 2*Pi, 0, 2, 1, 244, 1, 1, 0., 0.02, 60.9, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 6.613879270715354, 0, 2, 1, 230.59, 1, 1, 0., 0.002, 51.18, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 6.981317007977318, 0, 2, 1, 217.9946, 1, 1, 0., 0.002, 42.6, 0.1, "homogen"}
